Valore_1,Valore_2
-0.8364615440368652,-0.8300054669380188
-0.9638903141021729,0.9696674346923828
0.9218271374702454,0.9272028207778931
0.8447632193565369,-0.8295429348945618
-0.8490697145462036,0.8364795446395874
-0.9571706652641296,0.9567640423774719
0.7947463393211365,0.8398177027702332
0.9671158790588379,0.9698384404182434
-0.9228511452674866,0.9234494566917419
-0.8547199368476868,-0.8800955414772034
-0.9635331034660339,-0.9611638188362122
0.8866187334060669,-0.922859787940979
0.9385657906532288,-0.926811933517456
